id,cohort,images_path,images_sha256,images_mode,images_size_wh,labels_path,labels_sha256,labels_mode,labels_size_wh,fov_path,fov_sha256,fov_mode,fov_size_wh,label_intermediate_value_pixels,label_foreground_pixels,label_pixels_ge_128,label_pixels_eq_255,fov_pixels,label_foreground_outside_fov
11_h,healthy,datasets\HRF\images\11_h.jpg,f6d06967127f02bc17ad13aace2af9c66c8bbe921be72c01e5796721a48ba75e,RGB,"(3504, 2336)",datasets\HRF\labels\11_h.tif,0b0ff4069c922fcb4c706674a1397893565b940384d79470fb649dcc685c6025,L,"(3504, 2336)",datasets\HRF\fov\11_h_mask.tif,756db1edab64be679402429c1cfa3a696157908c1a45937b391f455e3325fbb0,RGB,"(3504, 2336)",599,765355,764983,764756,6914041,45
12_h,healthy,datasets\HRF\images\12_h.jpg,7a0a23da6ddd2d7168f6f8cff2b9b8620b260ad1093ca679b7cacc6ebe33dbd1,RGB,"(3504, 2336)",datasets\HRF\labels\12_h.tif,d1ebd55602029604cb0bd268a70f0177992bf99bc2063bb227bff6a66c3e98f4,L,"(3504, 2336)",datasets\HRF\fov\12_h_mask.tif,fbb9c99e7022b4730d7fc31450f418588c808c1f961140335baf12c9db4d82db,RGB,"(3504, 2336)",1584,859295,858434,857711,6912710,104
13_h,healthy,datasets\HRF\images\13_h.jpg,b24a2623fb844b7b05c9b70e3a5892fc32d8513d70e2fa5b63721f674c0473a4,RGB,"(3504, 2336)",datasets\HRF\labels\13_h.tif,efb60723f335aab94e39f94eb57c0d904d5e0b1bfbe54eade7589de738d6d400,L,"(3504, 2336)",datasets\HRF\fov\13_h_mask.tif,36cfc74582311d0611da97f1277ab69acebe81b71b070006324a5a99e3876280,RGB,"(3504, 2336)",1119,712528,711942,711409,6912464,0
14_h,healthy,datasets\HRF\images\14_h.jpg,d73147228b3d33e5f5fa2fb6d155fa4f075bcbf2dc2ace8716dc4254b6f9cc0e,RGB,"(3504, 2336)",datasets\HRF\labels\14_h.tif,e4420e88f1947329a21a09600cbb69d07afe9eaf7f6e509b54dc3a9588f325e5,L,"(3504, 2336)",datasets\HRF\fov\14_h_mask.tif,576cdc4bce2a6320652d781404d8b6a4c655ad9cabd714597de6cac24a0c507b,RGB,"(3504, 2336)",0,714054,714054,714054,6910309,11
15_h,healthy,datasets\HRF\images\15_h.jpg,d74ab81cd1cf7011deee003f36e01089b3f70f3a8faf979a27db6af07b95428e,RGB,"(3504, 2336)",datasets\HRF\labels\15_h.tif,ec5b33277c2fa18d13b8d42ad514f36cc603894136ef2959d9f1d1539bc21505,L,"(3504, 2336)",datasets\HRF\fov\15_h_mask.tif,8b0ccac646556057e527926dcf7a32b5a9282a56714e57e9f21eedd6055a30f6,RGB,"(3504, 2336)",0,641245,641245,641245,6912814,0
01_g,glaucoma,datasets\HRF\images\01_g.jpg,0273a9f3e71aaf5b5b9cd3a0d91a5f1e916a6aa55c9e116775d63e8b03e62ac1,RGB,"(3504, 2336)",datasets\HRF\labels\01_g.tif,91d0bc11ae11a3cea015101d62d37bba7f15bfc7404f3c9a4ccca17589b7cd08,L,"(3504, 2336)",datasets\HRF\fov\01_g_mask.tif,bac358b4667dc0580171240527c5cc0dc5f9a0773250f43e0066cc8fdeef1a56,RGB,"(3504, 2336)",0,547632,547632,547632,6914403,268
02_g,glaucoma,datasets\HRF\images\02_g.jpg,731aecf6ce2423d775a9f61d5b532ef0fe46ae57354421460bb1012709406b4b,RGB,"(3504, 2336)",datasets\HRF\labels\02_g.tif,dc1db97163cb5d2c0d3a458f3d855e1b68a7502dd7184a1022cfc401605fb7df,L,"(3504, 2336)",datasets\HRF\fov\02_g_mask.tif,f5f04224eb056737f4e8ec203bed8787b7adc34781d72c7bf5641f9136c9bb69,RGB,"(3504, 2336)",0,609722,609722,609722,6915730,189
03_g,glaucoma,datasets\HRF\images\03_g.jpg,bc8696d72952b00bae56cbff196446718ffb933e2e674ed1cc589644b9bb53b8,RGB,"(3504, 2336)",datasets\HRF\labels\03_g.tif,b60a2d1d922defe45eeca36c20b631134f92569edc36b6b95a77d21278417b05,L,"(3504, 2336)",datasets\HRF\fov\03_g_mask.tif,5eb97e533560b8118ce67e3eb9fb6a66cc9c6813a0ac54806f173da6c24a7c8c,RGB,"(3504, 2336)",0,472735,472735,472735,6914352,107
04_g,glaucoma,datasets\HRF\images\04_g.jpg,fc9ed13ef42502eeecb3f1754dc0d3b72a454c82884b40dde934e8a516495588,RGB,"(3504, 2336)",datasets\HRF\labels\04_g.tif,7c71fce49972bc7af0376514a1f199f2d3e847c5adffdc1fba9e81267d87fc1b,L,"(3504, 2336)",datasets\HRF\fov\04_g_mask.tif,9a9f7052db72ff94b1b1e0b37f8a8f4da341764aec75798345b4e486e9b7006a,RGB,"(3504, 2336)",0,526916,526916,526916,6912845,95
05_g,glaucoma,datasets\HRF\images\05_g.jpg,50339d12f10123f6ca1540e574f7b4dde3a382ab8c25bf19272e05a4ceeb4486,RGB,"(3504, 2336)",datasets\HRF\labels\05_g.tif,b120e2e2985f6367233a4b17674b6b6ad10f3106af5c5755c34d395acb45e77d,L,"(3504, 2336)",datasets\HRF\fov\05_g_mask.tif,5766742633ae908c4aef15d1a313ce7364332b23976b3cf01849471be71e016d,RGB,"(3504, 2336)",0,535051,535051,535051,6913655,102
06_g,glaucoma,datasets\HRF\images\06_g.jpg,8ea4430a040201057c907dbec8dad678bf088423dffbed5e01121c2c7c5ae231,RGB,"(3504, 2336)",datasets\HRF\labels\06_g.tif,e7f49eed5fd8081f921249bf89e95dc0a3b99aa3020b3aca68e3fd76c68c2aff,L,"(3504, 2336)",datasets\HRF\fov\06_g_mask.tif,295cc5f0416f0e08db78bbb6f969bd83137e29dec0f9cba7e7123287e283e744,RGB,"(3504, 2336)",0,559765,559765,559765,6912795,210
07_g,glaucoma,datasets\HRF\images\07_g.jpg,6a6059503657573ed04054f30e92a873032e86b21dc11d1063b3b2b80d8df00d,RGB,"(3504, 2336)",datasets\HRF\labels\07_g.tif,ed84d8d9775273ca80a4c32b0904dac8b64d27e61d8c018229756efcd7ce4dec,L,"(3504, 2336)",datasets\HRF\fov\07_g_mask.tif,cc75299c666c2199ee0557d28376ae3e532e95c66ccbce91dc220fc2f9d09e4c,RGB,"(3504, 2336)",0,532784,532784,532784,6913258,73
08_g,glaucoma,datasets\HRF\images\08_g.jpg,8c292882a2dc848e11d3cfd5510a780e6a0c757e6d812f39a36fbec3b422beda,RGB,"(3504, 2336)",datasets\HRF\labels\08_g.tif,7e8725836d47b7e7073fda48525637d2d7e0a74f6b1bc19e0e1757997f4c0448,L,"(3504, 2336)",datasets\HRF\fov\08_g_mask.tif,1b890c0b81f36fb9fd9ccad6b67461e5122bab25da9aa1b54d9127a07fa0d9f3,RGB,"(3504, 2336)",0,555558,555558,555558,6913716,89
09_g,glaucoma,datasets\HRF\images\09_g.jpg,e7cd08c9eff5e9544c69714f89cdb3e6ec67d9729d09b8d32c37e4507e41c7fb,RGB,"(3504, 2336)",datasets\HRF\labels\09_g.tif,b2a4664a3fdcab40dd8aa3ca1e917f60bfd3d5ae641a466e30e7ab94d9703188,L,"(3504, 2336)",datasets\HRF\fov\09_g_mask.tif,03dee7e92243028f85b7a5955e2be9ec1f7979569040fb99fe9d64bb966c635c,RGB,"(3504, 2336)",0,541943,541943,541943,6915645,39
10_g,glaucoma,datasets\HRF\images\10_g.jpg,d54fc4a8e9e7432dfee1171849574207c549c60614f40bae5e9dac50ec69e7fd,RGB,"(3504, 2336)",datasets\HRF\labels\10_g.tif,9a174e32a3f2620d9d0a9289a715ca8c00e0de12a8b5baee9a99d1e3f59be4d2,L,"(3504, 2336)",datasets\HRF\fov\10_g_mask.tif,b647b74a72ad8432bb839f1c825a99150558e0fc8b806c0e939179c09b717168,RGB,"(3504, 2336)",0,536598,536598,536598,6913722,65
11_g,glaucoma,datasets\HRF\images\11_g.jpg,4d7f0f7ccd453eb1a9762585e705499fefad327649b29aa5cd1500b77f2e03f3,RGB,"(3504, 2336)",datasets\HRF\labels\11_g.tif,5c59bd447654ba46695b15d8637eb4faa1f3d9f57129d5a16ef67274e5aa63f6,L,"(3504, 2336)",datasets\HRF\fov\11_g_mask.tif,5d535c4433a3ad5e773306ee2a02e481798cf717b7c268b3802f40ddcb2df9d2,RGB,"(3504, 2336)",0,625693,625693,625693,6913339,138
12_g,glaucoma,datasets\HRF\images\12_g.jpg,126546aab6ba5f9ca02e5dd1055ebcd4ea45815b6a02e0b8c4ed6f60d5d30481,RGB,"(3504, 2336)",datasets\HRF\labels\12_g.tif,a21dbe056305e1679ba78a581438b7bb6113f301153558608b237d077961e07a,L,"(3504, 2336)",datasets\HRF\fov\12_g_mask.tif,5b7c8dda71c3dafb462ed4f358dbf2db6cd5d62247dfeb8abca26336133b635a,RGB,"(3504, 2336)",0,676424,676424,676424,6913584,93
13_g,glaucoma,datasets\HRF\images\13_g.jpg,36d277e7b241fdab635e7ea982a447ae7d869d60eaf5b747ee74eabf152eff10,RGB,"(3504, 2336)",datasets\HRF\labels\13_g.tif,dd7b31b0f08d6039627ad58e93e64c189ef8352eabf8b7bb2f6072720d4308ec,L,"(3504, 2336)",datasets\HRF\fov\13_g_mask.tif,6fea2b7ca96e17605fc7f560f7562fe9e20c882da3b0d119ccaefce038511cca,RGB,"(3504, 2336)",0,556981,556981,556981,6916614,31
14_g,glaucoma,datasets\HRF\images\14_g.jpg,3fc7fe1b5e5a4f9e9026088cb9910c7ebbd30e32e49ae39ce391b0794959c586,RGB,"(3504, 2336)",datasets\HRF\labels\14_g.tif,e946d4907cbd4848c4087986d4a3c220379ea5722af0639fdfe2bf2f92c8fd32,L,"(3504, 2336)",datasets\HRF\fov\14_g_mask.tif,22b1f44335540e4ced7f7019baa9ba271a27cffff1d3d82ecd3e54176fead81d,RGB,"(3504, 2336)",0,578169,578169,578169,6915352,110
15_g,glaucoma,datasets\HRF\images\15_g.jpg,b7eafbb3e9e66d71580b89a027f7d379465b3a9be3a428dad0834457606d7f87,RGB,"(3504, 2336)",datasets\HRF\labels\15_g.tif,a63b51c2340d9f80503ce2e3add1c0468095e539234af014f9a8ae8a707ccf21,L,"(3504, 2336)",datasets\HRF\fov\15_g_mask.tif,dcdd4d329aa566bb4659652ea9d4c70a04cb240a7d98cdb20ba33d1dde66d42a,RGB,"(3504, 2336)",0,599188,599188,599188,6911891,83
01_dr,diabetic_retinopathy,datasets\HRF\images\01_dr.JPG,c02d869abc2a910f19f3bf357ca14264eeef1cfca8ecb031a23cdb19e1bf91f5,RGB,"(3504, 2336)",datasets\HRF\labels\01_dr.tif,74b3df56750babecd8d2d921c48575923156626e2e2d4b5d893ba15644fd221d,L,"(3504, 2336)",datasets\HRF\fov\01_dr_mask.tif,f5db3c7825d5ae4689833077e9fa31fea4d3da95bea52f1aa90cdc5236fec5df,RGB,"(3504, 2336)",0,416282,416282,416282,6912991,365
02_dr,diabetic_retinopathy,datasets\HRF\images\02_dr.JPG,523bd4215ca72be0a260a87267384925fd9d972a8b05893498b5debe4d6df85e,RGB,"(3504, 2336)",datasets\HRF\labels\02_dr.tif,261f828448268923bb3cea70d2d1bbee0aa58958b13f61930074c7f51eff3ad3,L,"(3504, 2336)",datasets\HRF\fov\02_dr_mask.tif,736a9677cd11b31b1fa22c75dbdd6348b6b9b7979da17834321c625952ac3438,RGB,"(3504, 2336)",0,521878,521878,521878,6915024,480
03_dr,diabetic_retinopathy,datasets\HRF\images\03_dr.JPG,cb2f18a2569b3bc115d5d236ab0f6e7eea1b328e0d28ecfd70aaebab4cc34e36,RGB,"(3504, 2336)",datasets\HRF\labels\03_dr.tif,41ec653951346b88f61613847a8892e0e31bad88396cd4de7c4c3ddb4ad8c14b,L,"(3504, 2336)",datasets\HRF\fov\03_dr_mask.tif,915a010eb813e1949f33ad376594755e086d16f6c030a58be5620e27c0c84574,RGB,"(3504, 2336)",0,494400,494400,494400,6915830,85
04_dr,diabetic_retinopathy,datasets\HRF\images\04_dr.JPG,8fcdff8c714cf94b7daac8aa9b3d818d026944dcee6e6ccd7d978719e9008c20,RGB,"(3504, 2336)",datasets\HRF\labels\04_dr.tif,2f38b76143f3afda8757d70217969367c20e4f9b497b09e7fe770ee60a08fb47,L,"(3504, 2336)",datasets\HRF\fov\04_dr_mask.tif,c167c4c82d6feddb35360ea686ff6d7cc4cc38042f24e4cf41ce170fb2f499a8,RGB,"(3504, 2336)",0,462179,462179,462179,6913398,204
05_dr,diabetic_retinopathy,datasets\HRF\images\05_dr.JPG,6dd2ca7e060230cb0264afaf870a1d21ddfe38572cf2c6ad3db866513b61d7a3,RGB,"(3504, 2336)",datasets\HRF\labels\05_dr.tif,9b01c5fc7fecfaed5073589c5c2442807c18a4c88039964002531a990ba7daf3,L,"(3504, 2336)",datasets\HRF\fov\05_dr_mask.tif,c7e52c5d4b83f094ad17c19cbff04daa19ac642d2f74894883d7fc5d0a03b7aa,RGB,"(3504, 2336)",0,508978,508978,508978,6912374,94
06_dr,diabetic_retinopathy,datasets\HRF\images\06_dr.JPG,d081131db2df8ea12e88804a7a154466826715698e04bcca4a618186dd5e9b4f,RGB,"(3504, 2336)",datasets\HRF\labels\06_dr.tif,96a1f7211a3a7454de4fd71a261924c37fa77a38913aa92083d48fe108d3bc07,L,"(3504, 2336)",datasets\HRF\fov\06_dr_mask.tif,0d3159c2fdd19b3331807ea1caa6d2a7f523626c6e2884dc83da051a8be8ed6b,RGB,"(3504, 2336)",0,617966,617966,617966,6914251,122
07_dr,diabetic_retinopathy,datasets\HRF\images\07_dr.JPG,203ddec480816b6c9d7ea3c19c1ff0870a5a61b5b6c9a176300402ac47fbc10f,RGB,"(3504, 2336)",datasets\HRF\labels\07_dr.tif,761517740cbfeaf4022d63e902fcc4d810eb78ba50f27bd0a7579eedd7a646fa,L,"(3504, 2336)",datasets\HRF\fov\07_dr_mask.tif,f8a11f52649871ea26d2f440187ec46181e7f011ee9079f5d0a4fc7b57037d64,RGB,"(3504, 2336)",0,636359,636359,636359,6914936,96
08_dr,diabetic_retinopathy,datasets\HRF\images\08_dr.JPG,d38e86cfd7d0a482725864458690a974edcba93e7b10bee593c5658e3304d1ac,RGB,"(3504, 2336)",datasets\HRF\labels\08_dr.tif,4d81ca9078ad8d88aa75e9d3158587d1e586b11f2517203a7190b22bc5cd5f0e,L,"(3504, 2336)",datasets\HRF\fov\08_dr_mask.tif,47e8356a9e7df2aefdfc187b4ffca29c58a7b568f27847522c41b0d713360824,RGB,"(3504, 2336)",0,615777,615777,615777,6913320,180
09_dr,diabetic_retinopathy,datasets\HRF\images\09_dr.JPG,1748a6ca9b2d5fbfd862b1741c2fc2b7304e579ce6e680bde2b5643d446a3329,RGB,"(3504, 2336)",datasets\HRF\labels\09_dr.tif,d8d9836005e5f6d4a7877dcdced06bb2475cb51c4312db8f540b19ccd55309d1,L,"(3504, 2336)",datasets\HRF\fov\09_dr_mask.tif,3a149864491e14844fbd34536e1916cf47dee83c65c8c1e7b33192bf74dd0efd,RGB,"(3504, 2336)",0,554447,554447,554447,6913451,131
10_dr,diabetic_retinopathy,datasets\HRF\images\10_dr.JPG,f76618c06ae593c431eb92e08a92c182b37cd815b52c4a99986c79e9e3c8b7eb,RGB,"(3504, 2336)",datasets\HRF\labels\10_dr.tif,b5bfa4a55009a3793703fcb4fdb3f04b4486aa56d0e6e07fd829c21fa47d1adb,L,"(3504, 2336)",datasets\HRF\fov\10_dr_mask.tif,e427539a3a8c22e704155611299a5bdb8c366590d07925b9ac16e49c5cadb80e,RGB,"(3504, 2336)",0,714889,714889,714889,6911549,87
11_dr,diabetic_retinopathy,datasets\HRF\images\11_dr.JPG,afe035f574d3a96494cbce396887d06ec7884ea7b1f58bc426dfe8fb0236318f,RGB,"(3504, 2336)",datasets\HRF\labels\11_dr.tif,ef121e60be71c59e62dd5216486f15bb6623b94bf649300dd55958a98b2a7025,L,"(3504, 2336)",datasets\HRF\fov\11_dr_mask.tif,4bc2156d2246ed277314a243be525a2edcb3d4af8f5d501f10fb301166c2ae39,RGB,"(3504, 2336)",0,692937,692937,692937,6911775,51
12_dr,diabetic_retinopathy,datasets\HRF\images\12_dr.JPG,0672cd5f89ebe09239ee7c010262e61fca7cb6e96a5e8ee2dea8f2ebab094f66,RGB,"(3504, 2336)",datasets\HRF\labels\12_dr.tif,ebda0a6bb0b9a0272267de962f204c54ce5b8415d17d65b498516e745d563eb2,L,"(3504, 2336)",datasets\HRF\fov\12_dr_mask.tif,9de162f07d3e6ee19764d16203c193f211f1097c4788aae89fd675b7c18920ba,RGB,"(3504, 2336)",0,556724,556724,556724,6914124,61
13_dr,diabetic_retinopathy,datasets\HRF\images\13_dr.JPG,0fb926d934d59a40aff04cb86999579db1df8e89732bf436cc6cb87498aa7de9,RGB,"(3504, 2336)",datasets\HRF\labels\13_dr.tif,c3989803b287c4c93e58898453bea665dca45f8cb45d367813e00c700bc9f7bb,L,"(3504, 2336)",datasets\HRF\fov\13_dr_mask.tif,4e6808a7a0b6f439acfd18c9d16f015c61a274227d30287e6c9ac41c2fa9f9e3,RGB,"(3504, 2336)",0,559479,559479,559479,6914013,14
14_dr,diabetic_retinopathy,datasets\HRF\images\14_dr.JPG,f461f25c56f560364b3d9c8e50345c6df232b5ef9840635adc14b2efa7ef0800,RGB,"(3504, 2336)",datasets\HRF\labels\14_dr.tif,6a28ad294bb5f9603c23878a04bdc30120229462e7569dc5285f4dfce71eba25,L,"(3504, 2336)",datasets\HRF\fov\14_dr_mask.tif,03f4877956eee4666072aaaa390d075051f5322a505e9ddae9282fc86af24f6a,RGB,"(3504, 2336)",0,624936,624936,624936,6914033,87
15_dr,diabetic_retinopathy,datasets\HRF\images\15_dr.JPG,2849910e2707c236b4aa31a482947da91cb3d48af99a51e97276cb43f3be2dcd,RGB,"(3504, 2336)",datasets\HRF\labels\15_dr.tif,02b80f4cec95bf43f85e5281329b732e003337b42e6fdd4fb8efa0503e442c5b,L,"(3504, 2336)",datasets\HRF\fov\15_dr_mask.tif,a372dd191d1e7fe976b440b41f7890ee173833fa2c32092a15eb1a3d8aab6e2d,RGB,"(3504, 2336)",0,535043,535043,535043,6912920,185
